institution name,"DRVGR2022.Graduation rate, total cohort",HD2022.Degree of urbanization (Urban-centric locale),"EF2022D.Full-time retention rate, 2022",American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,EF2022A.Grand total,Cluster
Massachusetts Maritime Academy,79.0,Suburb: Midsize,78.0,1.1228070175438596,1.1929824561403508,0.9824561403508772,4.842105263157895,0.0701754385964912,83.29824561403508,1.9649122807017545,5.614035087719298,0.912280701754386,1425,1
Massachusetts College of Liberal Arts,56.0,Town: Fringe,64.0,0.3198294243070362,2.55863539445629,9.168443496801707,10.127931769722814,0.2132196162046908,68.44349680170576,3.944562899786781,5.223880597014925,0.0,938,1
Salem State University,55.0,Suburb: Large,75.0,0.3058571647040832,3.2420859458632814,8.181679155834225,20.385380027527145,0.0458785747056124,58.617525615537545,3.1962073711576693,2.982107355864811,3.043278788805628,6539,1
University of Massachusetts-Dartmouth,55.0,Suburb: Midsize,67.0,0.1475124044521925,3.741450985651066,14.657368915113317,11.10366098967413,0.0402306557596888,57.00683921147915,4.626525412364221,3.12458093066917,5.551830494837065,7457,1
Westfield State University,60.0,Suburb: Large,75.0,0.2977456401531263,2.169289663972777,5.678434708634623,11.484474691620589,0.0425350914504466,69.05572096980008,3.317737133134836,7.273500638026372,0.680561463207146,4702,1
Worcester State University,59.0,City: Midsize,75.0,0.4518922990020712,4.744869139521748,7.719826774618715,14.761815100734324,0.0,63.39672378083223,2.711353794012427,4.857842214272265,1.3556768970062134,5311,1
Central Michigan University,62.0,Town: Distant,72.0,0.8449543175104761,1.9578209795974448,9.328845229099404,4.774335371299031,0.1099127567493302,69.29312358315588,3.2355567768084086,2.157037851205605,8.298413134574432,14557,1
Eastern Michigan University,45.0,Suburb: Large,66.0,0.2496789841632187,3.4313026109288063,16.38607504636895,8.65316022257098,0.0998715936652874,59.10971607932658,4.344414324440006,4.472820659152518,3.252960479383649,14018,1
Ferris State University,49.0,Town: Distant,77.0,0.7446386020651311,1.767275615567911,8.677521842732327,6.423749007148532,0.0893566322478157,73.9078633836378,3.097696584590945,3.951548848292296,1.3403494837172358,10072,1
Grand Valley State University,66.0,Suburb: Large,79.0,0.3372135994087213,2.706947524020695,5.303030303030303,6.513303769401331,0.0554323725055432,78.24741315594974,3.50609756097561,0.6374722838137472,2.693089430894309,21648,1
Lake Superior State University,51.0,Town: Remote,72.0,4.773413897280967,0.6646525679758308,0.6042296072507553,0.785498489425982,0.0,32.08459214501511,0.0,60.54380664652568,0.5438066465256798,1655,0
University of Michigan-Ann Arbor,93.0,City: Midsize,97.0,0.1600780868716447,15.211322596388484,4.296730112249878,7.648609077598828,0.0546608101512933,46.74865788189361,4.320156173743289,4.224499755978526,17.33528550512445,51225,5
