institution name,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,EF2022A.Grand total,Cluster
California State University-Fresno,0.28751197966581943,12.004666861119214,2.80011667152798,59.1232968040335,0.13333888912038003,16.896537355723154,2.3875994833118046,3.3834743114296426,2.983457644068503,23999,3
California State University-Fullerton,0.09904422324567919,21.831822908928835,2.2408755509334917,50.17827960184222,0.15351854603080275,16.43391274203932,3.590353092655871,2.47610558114198,2.9960877531817958,40386,3
California State University-East Bay,0.15358736195421632,21.867914868719375,8.79104805090324,36.21004900168215,0.97271995904337,16.221750895926277,4.812404007898778,3.8396840488554087,7.1308418050171865,13673,3
California State University-Long Beach,0.11033279449875555,20.819541734020987,3.6486798552844277,48.57722012675442,0.21809971005567955,16.134246786236623,4.333769532753444,2.3067251687065404,3.851384291689118,38973,3
California State University-Los Angeles,0.12471655328798185,11.315192743764173,3.949357520786092,72.86848072562358,0.07180650037792895,5.597127739984883,1.5117157974300832,2.3356009070294785,2.2260015117157974,26460,3
California State University-Northridge,0.0745096995662471,8.898586976768941,4.656856222890444,53.50594747066181,0.13837515633731606,20.051092365416856,2.953777375661939,5.383325793661353,4.337528939035099,37579,3
California State University-Sacramento,0.2765730089886228,19.84097051983154,6.314036080206173,37.6359293481677,0.9460054057451758,23.66584951914011,5.688603934879628,3.5388773650135144,2.0931548180275317,31818,3
University of California-Berkeley,0.139051360716887,30.33085395192796,2.516167479638908,17.478535325667117,0.1346370318052398,22.886088242434944,5.484803672721655,3.0194009755666893,18.010461959520605,45307,5
University of California-Davis,0.1436528138309937,28.070263867536983,1.9733360215731244,22.07716928350009,0.25202248040525216,24.070667103505635,5.962851886388266,1.9884573703974395,15.46157917286222,39679,5
University of California-Irvine,0.12243648607284971,34.03734312825222,2.228900576008014,24.055986865904224,0.14748031276956897,15.440910482232798,5.275899490775523,1.7029802153769096,16.988062442607895,35937,5
University of California-Los Angeles,0.21322420848589274,26.19857850527676,3.6205039844927853,20.01507645918587,0.15722593150979972,26.573336205039844,6.2265776437648075,2.8451432263622656,14.150333835881973,46430,5
University of California-Riverside,0.13428326308329291,33.104554440672906,3.215338132716625,35.682047073743895,0.1976948039837368,12.395091200716177,4.528330038419933,1.4472751687866015,9.295385877876832,26809,5
University of California-San Diego,0.09998571632623911,30.012379183926107,1.7021377898395467,20.682759605770602,0.09284387944579346,19.359139170594677,5.477788887301814,2.1330286149597675,20.43993715183545,42006,5
