institution name,"DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, two or more races","DRVGR2022.Graduation rate, Race/ethnicity unknown","DRVGR2022.Graduation rate, U.S. Nonresident",HD2022.Degree of urbanization (Urban-centric locale),HD2022.Institution size category,Cluster
North Carolina A & T State University,50.0,13.0,13.0,,58.0,57.0,57.0,38.0,73.0,58.0,City: Large,"10,000 - 19,999",2
University of North Carolina at Asheville,0.0,52.0,50.0,100.0,39.0,60.0,61.0,50.0,60.0,67.0,City: Small,"1,000 - 4,999",2
University of North Carolina at Chapel Hill,85.0,93.0,93.0,,89.0,90.0,92.0,89.0,94.0,88.0,City: Small,"20,000 and above",5
University of North Carolina at Charlotte,60.0,72.0,71.0,100.0,72.0,67.0,70.0,67.0,82.0,71.0,City: Large,"20,000 and above",0
University of North Carolina at Greensboro,67.0,63.0,63.0,67.0,60.0,59.0,57.0,50.0,71.0,63.0,City: Large,"10,000 - 19,999",2
North Carolina Central University,25.0,67.0,67.0,,45.0,47.0,48.0,34.0,26.0,67.0,City: Large,"5,000 - 9,999",4
University of North Carolina School of the Arts,100.0,100.0,100.0,,93.0,87.0,80.0,82.0,0.0,100.0,City: Midsize,"1,000 - 4,999",9
North Carolina State University at Raleigh,70.0,88.0,88.0,67.0,77.0,84.0,85.0,82.0,87.0,88.0,City: Large,"20,000 and above",0
University of North Carolina Wilmington,50.0,73.0,73.0,67.0,69.0,72.0,75.0,70.0,69.0,60.0,City: Midsize,"10,000 - 19,999",9
University of North Carolina at Pembroke,47.0,50.0,53.0,0.0,48.0,40.0,43.0,40.0,42.0,0.0,Town: Distant,"5,000 - 9,999",8
Winston-Salem State University,0.0,100.0,100.0,,52.0,42.0,50.0,25.0,38.0,50.0,City: Midsize,"5,000 - 9,999",4
Western Carolina University,44.0,59.0,63.0,33.0,47.0,58.0,63.0,44.0,58.0,75.0,Town: Distant,"10,000 - 19,999",8
