institution name,"DRVGR2022.Graduation rate, American Indian or Alaska Native","DRVGR2022.Graduation rate, Asian/Native Hawaiian/Other Pacific Islander","DRVGR2022.Graduation rate, Asian","DRVGR2022.Graduation rate, Native Hawaiian or Other Pacific Islander","DRVGR2022.Graduation rate, Black, non-Hispanic","DRVGR2022.Graduation rate, Hispanic","DRVGR2022.Graduation rate, White, non-Hispanic","DRVGR2022.Graduation rate, two or more races","DRVGR2022.Graduation rate, Race/ethnicity unknown","DRVGR2022.Graduation rate, U.S. Nonresident",HD2022.Degree of urbanization (Urban-centric locale),HD2022.Institution size category,Cluster
Miami University-Hamilton,50.0,33.0,33.0,,18.0,12.0,20.0,17.0,17.0,0.0,Suburb: Large,"1,000 - 4,999",1
Miami University-Middletown,0.0,50.0,50.0,,0.0,44.0,23.0,45.0,17.0,0.0,Suburb: Small,"1,000 - 4,999",1
Miami University-Oxford,44.0,80.0,80.0,100.0,68.0,83.0,83.0,76.0,73.0,71.0,Town: Fringe,"10,000 - 19,999",5
Ohio State University-Lima Campus,0.0,38.0,38.0,,11.0,25.0,23.0,6.0,6.0,100.0,Rural: Fringe,"Under 1,000",1
Ohio State University-Marion Campus,0.0,11.0,12.0,0.0,36.0,8.0,18.0,0.0,20.0,0.0,Town: Distant,"Under 1,000",1
Ohio State University-Main Campus,100.0,92.0,92.0,100.0,76.0,85.0,89.0,81.0,87.0,88.0,City: Large,"20,000 and above",0
Ohio University-Main Campus,40.0,68.0,68.0,,58.0,62.0,66.0,55.0,68.0,57.0,Town: Distant,"20,000 and above",8
Shawnee State University,25.0,50.0,50.0,,12.0,17.0,38.0,24.0,45.0,20.0,Town: Fringe,"1,000 - 4,999",1
University of Toledo,0.0,67.0,67.0,,28.0,39.0,61.0,42.0,55.0,71.0,City: Large,"10,000 - 19,999",2
Wright State University-Main Campus,0.0,40.0,40.0,50.0,28.0,34.0,49.0,29.0,57.0,43.0,Suburb: Large,"5,000 - 9,999",4
Wright State University-Lake Campus,,50.0,100.0,0.0,0.0,0.0,45.0,0.0,0.0,,Rural: Fringe,"1,000 - 4,999",1
Youngstown State University,0.0,77.0,80.0,0.0,31.0,37.0,52.0,28.0,60.0,33.0,City: Small,"10,000 - 19,999",2
Cameron University,19.0,22.0,40.0,0.0,16.0,17.0,28.0,25.0,38.0,39.0,City: Small,"1,000 - 4,999",1
University of Central Oklahoma,33.0,43.0,46.0,20.0,23.0,31.0,42.0,33.0,,17.0,Suburb: Large,"10,000 - 19,999",2
East Central University,31.0,100.0,100.0,,17.0,16.0,43.0,33.0,29.0,15.0,Town: Remote,"1,000 - 4,999",6
Langston University,29.0,100.0,100.0,,25.0,100.0,54.0,20.0,7.0,6.0,Rural: Distant,"1,000 - 4,999",7
Northeastern State University,36.0,29.0,31.0,0.0,32.0,28.0,41.0,37.0,100.0,56.0,Town: Remote,"5,000 - 9,999",6
Northwestern Oklahoma State University,11.0,0.0,0.0,,21.0,29.0,37.0,33.0,42.0,1.0,Town: Remote,"1,000 - 4,999",6
Oklahoma Panhandle State University,25.0,100.0,100.0,,7.0,25.0,22.0,46.0,0.0,0.0,Rural: Distant,"1,000 - 4,999",7
Oklahoma State University-Main Campus,58.0,65.0,67.0,33.0,50.0,55.0,69.0,55.0,56.0,78.0,Town: Distant,"20,000 and above",8
University of Oklahoma-Norman Campus,63.0,81.0,81.0,100.0,66.0,73.0,78.0,73.0,76.0,74.0,Suburb: Midsize,"20,000 and above",5
Rogers State University,23.0,0.0,0.0,0.0,12.0,17.0,28.0,25.0,25.0,11.0,Town: Fringe,"1,000 - 4,999",1
University of Science and Arts of Oklahoma,22.0,50.0,50.0,,25.0,53.0,42.0,39.0,50.0,31.0,Town: Distant,"Under 1,000",8
Southeastern Oklahoma State University,30.0,60.0,50.0,100.0,9.0,19.0,38.0,47.0,,19.0,Town: Distant,"5,000 - 9,999",8
Southwestern Oklahoma State University,24.0,56.0,57.0,50.0,24.0,33.0,43.0,38.0,26.0,23.0,Town: Remote,"1,000 - 4,999",6
Eastern Oregon University,43.0,38.0,50.0,25.0,14.0,36.0,41.0,31.0,,0.0,Town: Remote,"1,000 - 4,999",6
Oregon Institute of Technology,100.0,55.0,60.0,0.0,50.0,41.0,60.0,50.0,80.0,64.0,Town: Remote,"1,000 - 4,999",6
Oregon State University,50.0,77.0,78.0,54.0,46.0,63.0,71.0,68.0,60.0,63.0,City: Small,"20,000 and above",5
University of Oregon,62.0,77.0,79.0,58.0,59.0,68.0,75.0,68.0,82.0,80.0,City: Midsize,"20,000 and above",9
Portland State University,25.0,63.0,64.0,45.0,53.0,50.0,52.0,50.0,75.0,47.0,City: Large,"20,000 and above",0
Southern Oregon University,75.0,56.0,75.0,17.0,54.0,44.0,46.0,47.0,47.0,42.0,Suburb: Midsize,"5,000 - 9,999",4
Western Oregon University,50.0,38.0,41.0,35.0,21.0,55.0,48.0,100.0,56.0,67.0,Town: Fringe,"1,000 - 4,999",1
Cheyney University of Pennsylvania,,,,,15.0,13.0,0.0,13.0,23.0,,Suburb: Large,"Under 1,000",1
East Stroudsburg University of Pennsylvania,100.0,59.0,61.0,0.0,39.0,39.0,51.0,31.0,29.0,,City: Small,"5,000 - 9,999",4
Indiana University of Pennsylvania-Main Campus,50.0,57.0,59.0,0.0,24.0,43.0,60.0,43.0,31.0,45.0,Town: Distant,"5,000 - 9,999",8
Kutztown University of Pennsylvania,75.0,47.0,47.0,,28.0,44.0,61.0,41.0,56.0,71.0,Town: Fringe,"5,000 - 9,999",4
Lincoln University,0.0,,,,44.0,40.0,25.0,33.0,37.0,94.0,Suburb: Large,"1,000 - 4,999",1
Millersville University of Pennsylvania,33.0,57.0,57.0,,47.0,43.0,60.0,62.0,43.0,60.0,Suburb: Large,"5,000 - 9,999",4
Pennsylvania State University-Penn State Erie-Behrend College,0.0,24.0,24.0,,31.0,45.0,52.0,44.0,40.0,5.0,Suburb: Midsize,"1,000 - 4,999",1
Pennsylvania State University-Penn State New Kensington,,0.0,0.0,,0.0,33.0,31.0,17.0,50.0,0.0,Rural: Fringe,"Under 1,000",1
Pennsylvania State University-Penn State Shenango,,,,,0.0,50.0,22.0,0.0,50.0,,Suburb: Large,"Under 1,000",1
Pennsylvania State University-Penn State Wilkes-Barre,,0.0,0.0,,18.0,20.0,23.0,0.0,0.0,0.0,Rural: Fringe,"Under 1,000",1
Pennsylvania State University-Penn State Scranton,,44.0,44.0,,17.0,31.0,34.0,33.0,100.0,0.0,Suburb: Large,"Under 1,000",1
Pennsylvania State University-Penn State Lehigh Valley,0.0,15.0,15.0,,0.0,12.0,13.0,18.0,25.0,0.0,Suburb: Large,"Under 1,000",1
Pennsylvania State University-Penn State Altoona,,2.0,2.0,,13.0,11.0,19.0,10.0,0.0,5.0,City: Small,"1,000 - 4,999",1
Pennsylvania State University-Penn State Beaver,,0.0,0.0,,6.0,27.0,24.0,23.0,,0.0,Suburb: Large,"Under 1,000",1
Pennsylvania State University-Penn State Berks,0.0,44.0,47.0,0.0,26.0,28.0,38.0,24.0,29.0,0.0,Suburb: Large,"1,000 - 4,999",1
Pennsylvania State University-Penn State Harrisburg,,27.0,27.0,0.0,22.0,31.0,41.0,25.0,18.0,5.0,Suburb: Large,"1,000 - 4,999",1
Pennsylvania State University-Penn State Brandywine,,24.0,24.0,,23.0,41.0,24.0,44.0,0.0,0.0,Suburb: Large,"1,000 - 4,999",1
Pennsylvania State University-Penn State Fayette- Eberly,100.0,50.0,0.0,100.0,0.0,29.0,33.0,29.0,0.0,0.0,Suburb: Small,"Under 1,000",1
Pennsylvania State University-Penn State Hazleton,,5.0,6.0,0.0,8.0,17.0,20.0,0.0,25.0,,Suburb: Small,"Under 1,000",1
Pennsylvania State University-Main Campus,63.0,79.0,80.0,50.0,68.0,76.0,85.0,74.0,87.0,84.0,City: Small,"20,000 and above",5
Pennsylvania State University-Penn State Greater Allegheny,,33.0,33.0,,15.0,17.0,24.0,0.0,0.0,25.0,Suburb: Large,"Under 1,000",1
Pennsylvania State University-Penn State Mont Alto,,25.0,25.0,,6.0,22.0,32.0,0.0,0.0,0.0,Town: Fringe,"Under 1,000",1
Pennsylvania State University-Penn State Abington,100.0,26.0,26.0,0.0,23.0,35.0,37.0,27.0,71.0,5.0,Suburb: Large,"1,000 - 4,999",1
Pennsylvania State University-Penn State Schuylkill,,20.0,20.0,,20.0,17.0,31.0,50.0,,0.0,Town: Distant,"Under 1,000",1
Pennsylvania State University-Penn State York,,6.0,6.0,0.0,12.0,0.0,13.0,23.0,20.0,2.0,Suburb: Midsize,"Under 1,000",1
University of Pittsburgh-Bradford,,28.0,28.0,,28.0,27.0,51.0,27.0,58.0,8.0,Town: Remote,"1,000 - 4,999",6
University of Pittsburgh-Greensburg,,30.0,30.0,,13.0,38.0,43.0,21.0,63.0,20.0,Suburb: Large,"1,000 - 4,999",1
University of Pittsburgh-Johnstown,100.0,31.0,33.0,0.0,23.0,24.0,53.0,45.0,45.0,29.0,Suburb: Small,"1,000 - 4,999",1
University of Pittsburgh-Pittsburgh Campus,100.0,89.0,89.0,,79.0,72.0,84.0,84.0,83.0,77.0,City: Large,"20,000 and above",0
Shippensburg University of Pennsylvania,0.0,45.0,50.0,0.0,24.0,41.0,57.0,47.0,30.0,50.0,Town: Fringe,"5,000 - 9,999",4
Slippery Rock University of Pennsylvania,17.0,85.0,83.0,100.0,45.0,59.0,69.0,63.0,56.0,25.0,Town: Distant,"5,000 - 9,999",8
Temple University,80.0,80.0,80.0,83.0,67.0,70.0,81.0,67.0,78.0,78.0,City: Large,"20,000 and above",0
West Chester University of Pennsylvania,,84.0,85.0,50.0,57.0,58.0,75.0,62.0,72.0,80.0,Suburb: Large,"10,000 - 19,999",5
Rhode Island College,29.0,63.0,63.0,50.0,30.0,35.0,49.0,43.0,44.0,75.0,Suburb: Large,"5,000 - 9,999",4
University of Rhode Island,57.0,71.0,71.0,0.0,57.0,58.0,75.0,63.0,75.0,70.0,Suburb: Large,"10,000 - 19,999",2
College of Charleston,70.0,71.0,72.0,67.0,58.0,60.0,65.0,76.0,64.0,63.0,City: Midsize,"10,000 - 19,999",9
Citadel Military College of South Carolina,83.0,69.0,73.0,50.0,56.0,66.0,73.0,63.0,100.0,50.0,City: Midsize,"1,000 - 4,999",9
Clemson University,100.0,88.0,88.0,,69.0,76.0,87.0,85.0,100.0,78.0,Suburb: Large,"20,000 and above",5
Francis Marion University,0.0,33.0,33.0,,34.0,44.0,45.0,36.0,,23.0,Suburb: Small,"1,000 - 4,999",1
Lander University,100.0,50.0,50.0,,31.0,56.0,51.0,33.0,17.0,33.0,Town: Distant,"1,000 - 4,999",8
University of South Carolina Aiken,33.0,80.0,75.0,100.0,39.0,42.0,44.0,24.0,71.0,45.0,Suburb: Large,"1,000 - 4,999",1
University of South Carolina Beaufort,0.0,33.0,33.0,,32.0,44.0,39.0,42.0,55.0,57.0,Town: Fringe,"1,000 - 4,999",1
University of South Carolina-Columbia,60.0,81.0,82.0,71.0,74.0,79.0,79.0,69.0,73.0,79.0,City: Midsize,"20,000 and above",9
Coastal Carolina University,50.0,67.0,67.0,,40.0,50.0,50.0,44.0,40.0,57.0,City: Small,"10,000 - 19,999",2
South Carolina State University,25.0,0.0,0.0,,34.0,25.0,70.0,,,,Town: Distant,"1,000 - 4,999",8
University of South Carolina-Upstate,,47.0,44.0,100.0,37.0,43.0,48.0,40.0,33.0,36.0,Suburb: Midsize,"1,000 - 4,999",1
Winthrop University,100.0,38.0,38.0,,53.0,56.0,66.0,62.0,,60.0,City: Small,"1,000 - 4,999",5
Black Hills State University,15.0,20.0,25.0,0.0,11.0,27.0,49.0,39.0,67.0,25.0,Town: Distant,"1,000 - 4,999",8
Dakota State University,25.0,33.0,33.0,,38.0,57.0,53.0,15.0,0.0,50.0,Town: Distant,"1,000 - 4,999",8
Northern State University,11.0,60.0,60.0,,17.0,47.0,56.0,27.0,,36.0,Town: Remote,"1,000 - 4,999",6
South Dakota School of Mines and Technology,0.0,50.0,50.0,,50.0,50.0,57.0,38.0,,83.0,City: Small,"1,000 - 4,999",2
South Dakota State University,13.0,50.0,47.0,100.0,36.0,37.0,61.0,46.0,50.0,48.0,Town: Remote,"10,000 - 19,999",6
Sinte Gleska University,10.0,,,,,,0.0,,,,Rural: Remote,"Under 1,000",3
University of South Dakota,13.0,50.0,60.0,0.0,45.0,43.0,62.0,30.0,0.0,55.0,Town: Distant,"5,000 - 9,999",8
Austin Peay State University,0.0,58.0,58.0,,38.0,37.0,47.0,37.0,24.0,,City: Midsize,"5,000 - 9,999",4
East Tennessee State University,50.0,71.0,74.0,0.0,34.0,31.0,58.0,51.0,50.0,48.0,City: Small,"10,000 - 19,999",2
The University of Tennessee Southern,,0.0,0.0,0.0,10.0,43.0,34.0,13.0,50.0,50.0,Town: Distant,"Under 1,000",1
University of Memphis,64.0,69.0,69.0,,36.0,52.0,56.0,45.0,51.0,59.0,City: Large,"20,000 and above",0
Middle Tennessee State University,50.0,63.0,63.0,100.0,47.0,50.0,58.0,49.0,67.0,52.0,City: Midsize,"20,000 and above",9
The University of Tennessee-Chattanooga,33.0,58.0,59.0,0.0,46.0,46.0,53.0,52.0,50.0,50.0,City: Midsize,"10,000 - 19,999",2
The University of Tennessee-Knoxville,55.0,84.0,84.0,83.0,61.0,65.0,74.0,58.0,74.0,76.0,City: Midsize,"20,000 and above",9
The University of Tennessee-Martin,50.0,43.0,43.0,,43.0,52.0,56.0,30.0,,16.0,Town: Remote,"5,000 - 9,999",6
Tennessee State University,0.0,0.0,0.0,,32.0,23.0,44.0,18.0,0.0,68.0,City: Large,"5,000 - 9,999",4
Tennessee Technological University,50.0,72.0,72.0,,38.0,56.0,62.0,53.0,63.0,57.0,Town: Remote,"5,000 - 9,999",6
Angelo State University,71.0,56.0,63.0,0.0,32.0,38.0,45.0,28.0,,46.0,City: Small,"10,000 - 19,999",2
Texas A & M University-Corpus Christi,20.0,32.0,33.0,0.0,34.0,34.0,37.0,29.0,22.0,67.0,City: Large,"10,000 - 19,999",2
Texas A&M University-Texarkana,,50.0,45.0,100.0,22.0,36.0,28.0,27.0,20.0,0.0,Rural: Fringe,"1,000 - 4,999",1
Texas A & M University-Commerce,25.0,22.0,19.0,50.0,37.0,48.0,44.0,43.0,43.0,67.0,Town: Distant,"10,000 - 19,999",8
University of Houston-Clear Lake,0.0,56.0,56.0,,50.0,55.0,53.0,25.0,0.0,100.0,Suburb: Large,"5,000 - 9,999",4
University of Houston-Downtown,,22.0,23.0,0.0,30.0,32.0,29.0,13.0,13.0,57.0,City: Large,"10,000 - 19,999",2
University of Houston-Victoria,,29.0,29.0,,16.0,24.0,32.0,8.0,,33.0,City: Small,"1,000 - 4,999",1
University of Houston,0.0,72.0,72.0,100.0,56.0,58.0,61.0,61.0,77.0,66.0,City: Large,"20,000 and above",0
Lamar University,40.0,61.0,61.0,50.0,24.0,41.0,44.0,35.0,38.0,46.0,City: Midsize,"10,000 - 19,999",2
Texas A & M International University,0.0,57.0,67.0,0.0,0.0,50.0,27.0,50.0,,50.0,City: Large,"5,000 - 9,999",4
Midwestern State University,25.0,33.0,38.0,0.0,23.0,40.0,47.0,38.0,,64.0,City: Midsize,"5,000 - 9,999",4
University of North Texas,60.0,64.0,64.0,50.0,58.0,57.0,60.0,53.0,31.0,69.0,City: Midsize,"20,000 and above",9
The University of Texas Rio Grande Valley,,68.0,68.0,50.0,47.0,52.0,50.0,56.0,63.0,68.0,City: Midsize,"20,000 and above",9
Prairie View A & M University,57.0,42.0,39.0,100.0,41.0,40.0,36.0,55.0,50.0,78.0,Town: Distant,"5,000 - 9,999",8
Sam Houston State University,75.0,46.0,49.0,0.0,48.0,56.0,61.0,58.0,83.0,64.0,Town: Distant,"20,000 and above",8
Stephen F Austin State University,27.0,56.0,58.0,33.0,42.0,50.0,59.0,51.0,50.0,8.0,Town: Remote,"10,000 - 19,999",6
Texas State University,67.0,59.0,58.0,70.0,49.0,53.0,60.0,54.0,100.0,88.0,City: Small,"20,000 and above",5
Sul Ross State University,50.0,100.0,,100.0,4.0,28.0,34.0,0.0,0.0,,Town: Remote,"1,000 - 4,999",6
Tarleton State University,50.0,42.0,42.0,,37.0,43.0,48.0,45.0,25.0,100.0,Town: Remote,"10,000 - 19,999",6
Texas A & M University-Kingsville,0.0,40.0,60.0,0.0,31.0,45.0,45.0,42.0,33.0,50.0,Town: Distant,"5,000 - 9,999",8
Texas A & M University-College Station,95.0,87.0,87.0,67.0,71.0,78.0,86.0,80.0,80.0,88.0,City: Midsize,"20,000 and above",9
The University of Texas at Arlington,83.0,63.0,63.0,,49.0,50.0,51.0,51.0,50.0,67.0,City: Large,"20,000 and above",0
The University of Texas at Austin,79.0,91.0,91.0,80.0,84.0,82.0,90.0,88.0,95.0,87.0,City: Large,"20,000 and above",0
The University of Texas at Dallas,50.0,80.0,80.0,67.0,62.0,61.0,68.0,64.0,70.0,37.0,City: Midsize,"20,000 and above",9
The University of Texas at El Paso,33.0,69.0,68.0,100.0,27.0,46.0,50.0,36.0,32.0,76.0,City: Large,"20,000 and above",0
The University of Texas at Tyler,33.0,50.0,50.0,,35.0,47.0,51.0,34.0,13.0,50.0,City: Midsize,"5,000 - 9,999",4
The University of Texas Permian Basin,,33.0,33.0,,20.0,41.0,35.0,40.0,0.0,61.0,City: Midsize,"5,000 - 9,999",4
The University of Texas at San Antonio,43.0,56.0,56.0,50.0,56.0,54.0,49.0,48.0,70.0,63.0,City: Large,"20,000 and above",0
Texas Southern University,13.0,33.0,40.0,0.0,25.0,23.0,34.0,,100.0,63.0,City: Large,"5,000 - 9,999",4
Texas Tech University,62.0,63.0,64.0,38.0,64.0,58.0,66.0,63.0,66.0,70.0,City: Large,"20,000 and above",0
Texas Woman's University,100.0,64.0,65.0,0.0,39.0,45.0,54.0,43.0,80.0,40.0,City: Midsize,"10,000 - 19,999",2
West Texas A & M University,20.0,63.0,71.0,0.0,26.0,40.0,49.0,45.0,38.0,75.0,Town: Fringe,"5,000 - 9,999",4
Utah State University,28.0,51.0,51.0,50.0,22.0,42.0,57.0,50.0,60.0,38.0,City: Small,"20,000 and above",2
University of Utah,44.0,66.0,70.0,33.0,62.0,56.0,66.0,66.0,75.0,72.0,City: Midsize,"20,000 and above",9
Castleton University,0.0,40.0,40.0,,13.0,33.0,55.0,63.0,60.0,43.0,Town: Distant,"1,000 - 4,999",8
Northern Vermont University,33.0,75.0,67.0,100.0,25.0,50.0,39.0,43.0,24.0,100.0,Rural: Distant,"1,000 - 4,999",7
University of Vermont,,70.0,70.0,,71.0,67.0,77.0,72.0,75.0,63.0,City: Small,"10,000 - 19,999",2
William & Mary,100.0,92.0,92.0,,85.0,91.0,92.0,92.0,95.0,81.0,Suburb: Small,"5,000 - 9,999",9
Christopher Newport University,67.0,80.0,79.0,100.0,72.0,69.0,79.0,56.0,70.0,71.0,City: Midsize,"1,000 - 4,999",9
George Mason University,100.0,78.0,79.0,50.0,69.0,69.0,68.0,66.0,70.0,69.0,Suburb: Large,"20,000 and above",5
James Madison University,100.0,83.0,83.0,100.0,78.0,78.0,82.0,76.0,76.0,71.0,City: Small,"20,000 and above",5
Longwood University,50.0,58.0,55.0,100.0,60.0,70.0,69.0,65.0,48.0,14.0,Town: Remote,"1,000 - 4,999",6
University of Mary Washington,,69.0,72.0,0.0,46.0,68.0,71.0,80.0,70.0,50.0,Suburb: Midsize,"1,000 - 4,999",5
Norfolk State University,0.0,0.0,0.0,,40.0,39.0,31.0,34.0,36.0,78.0,City: Midsize,"5,000 - 9,999",4
Old Dominion University,25.0,66.0,66.0,60.0,45.0,44.0,52.0,41.0,42.0,56.0,City: Midsize,"20,000 and above",9
Radford University,43.0,42.0,46.0,20.0,50.0,45.0,57.0,56.0,78.0,27.0,Suburb: Small,"5,000 - 9,999",4
University of Virginia's College at Wise,50.0,100.0,100.0,,29.0,0.0,48.0,,48.0,,Town: Distant,"1,000 - 4,999",8
Virginia Polytechnic Institute and State University,75.0,87.0,87.0,100.0,81.0,83.0,88.0,84.0,81.0,78.0,City: Small,"20,000 and above",5
Virginia Commonwealth University,60.0,75.0,75.0,33.0,63.0,59.0,64.0,60.0,65.0,56.0,City: Midsize,"20,000 and above",9
University of Virginia-Main Campus,100.0,98.0,98.0,100.0,88.0,95.0,96.0,91.0,95.0,93.0,Suburb: Small,"20,000 and above",9
Virginia Military Institute,60.0,72.0,75.0,50.0,74.0,67.0,78.0,100.0,,67.0,Town: Distant,"1,000 - 4,999",8
Virginia State University,,,,,28.0,,50.0,,44.0,,Suburb: Large,"1,000 - 4,999",1
Central Washington University,38.0,44.0,50.0,25.0,35.0,53.0,54.0,52.0,50.0,78.0,Town: Distant,"5,000 - 9,999",8
Eastern Washington University,35.0,34.0,41.0,8.0,42.0,46.0,52.0,50.0,43.0,55.0,Town: Fringe,"10,000 - 19,999",2
The Evergreen State College,57.0,53.0,53.0,,36.0,34.0,42.0,33.0,62.0,50.0,Suburb: Midsize,"1,000 - 4,999",1
Washington State University,47.0,63.0,64.0,40.0,49.0,54.0,66.0,48.0,70.0,63.0,Town: Distant,"20,000 and above",8
University of Washington-Seattle Campus,74.0,86.0,86.0,74.0,75.0,78.0,85.0,83.0,68.0,89.0,City: Large,"20,000 and above",0
Western Washington University,54.0,64.0,65.0,43.0,60.0,61.0,66.0,60.0,80.0,80.0,City: Small,"10,000 - 19,999",2
Bluefield State University,,0.0,0.0,,14.0,33.0,38.0,30.0,,,Town: Distant,"1,000 - 4,999",8
Concord University,50.0,0.0,0.0,,10.0,25.0,43.0,33.0,100.0,36.0,Town: Distant,"1,000 - 4,999",8
Fairmont State University,33.0,71.0,67.0,100.0,17.0,,49.0,49.0,0.0,,Town: Distant,"1,000 - 4,999",8
Marshall University,82.0,77.0,75.0,100.0,38.0,47.0,51.0,35.0,50.0,71.0,City: Small,"10,000 - 19,999",2
Shepherd University,50.0,14.0,14.0,,36.0,51.0,49.0,53.0,38.0,100.0,Town: Fringe,"1,000 - 4,999",1
West Virginia State University,50.0,15.0,20.0,0.0,26.0,14.0,42.0,25.0,50.0,,Suburb: Midsize,"1,000 - 4,999",1
West Liberty University,,50.0,33.0,100.0,50.0,100.0,71.0,24.0,45.0,33.0,Rural: Fringe,"1,000 - 4,999",1
West Virginia University Institute of Technology,100.0,0.0,0.0,,26.0,31.0,32.0,13.0,0.0,78.0,City: Small,"1,000 - 4,999",1
West Virginia University,88.0,65.0,64.0,100.0,35.0,53.0,65.0,51.0,100.0,65.0,City: Small,"20,000 and above",5
University of Wisconsin-Whitewater,0.0,60.0,61.0,0.0,35.0,54.0,64.0,48.0,100.0,43.0,Town: Distant,"10,000 - 19,999",8
University of Wisconsin-Eau Claire,80.0,60.0,60.0,,50.0,51.0,66.0,60.0,,50.0,City: Small,"10,000 - 19,999",2
University of Wisconsin-Green Bay,33.0,43.0,43.0,,18.0,50.0,54.0,64.0,0.0,47.0,City: Midsize,"5,000 - 9,999",4
University of Wisconsin-La Crosse,100.0,53.0,53.0,,65.0,52.0,71.0,63.0,33.0,71.0,City: Small,"10,000 - 19,999",2
University of Wisconsin-Oshkosh,40.0,49.0,48.0,67.0,37.0,53.0,60.0,48.0,25.0,33.0,City: Small,"10,000 - 19,999",2
University of Wisconsin-Parkside,0.0,70.0,73.0,0.0,32.0,33.0,43.0,17.0,,67.0,Suburb: Midsize,"1,000 - 4,999",1
University of Wisconsin-Stout,50.0,33.0,32.0,100.0,24.0,34.0,55.0,33.0,67.0,38.0,Town: Distant,"5,000 - 9,999",8
University of Wisconsin-Superior,0.0,100.0,100.0,,20.0,20.0,41.0,24.0,,46.0,Suburb: Midsize,"1,000 - 4,999",1
University of Wisconsin-Madison,55.0,90.0,90.0,86.0,81.0,82.0,90.0,88.0,100.0,92.0,City: Large,"20,000 and above",0
University of Wisconsin-Milwaukee,20.0,52.0,52.0,50.0,33.0,41.0,52.0,35.0,,45.0,City: Large,"20,000 and above",0
University of Wisconsin-Platteville,0.0,43.0,43.0,,19.0,46.0,63.0,58.0,,32.0,Town: Distant,"5,000 - 9,999",8
University of Wisconsin-River Falls,100.0,41.0,38.0,100.0,26.0,48.0,61.0,41.0,33.0,45.0,Town: Distant,"5,000 - 9,999",8
University of Wisconsin-Stevens Point,40.0,42.0,43.0,0.0,30.0,42.0,59.0,47.0,,35.0,Town: Distant,"5,000 - 9,999",8
University of Wyoming,38.0,44.0,47.0,0.0,42.0,46.0,64.0,54.0,56.0,51.0,Town: Remote,"10,000 - 19,999",6
Purdue University-Main Campus,100.0,85.0,85.0,56.0,82.0,77.0,83.0,81.0,83.0,86.0,City: Small,"20,000 and above",5
University of Massachusetts Global,,,,,,,50.0,,,,City: Large,"5,000 - 9,999",4
New College of Florida,,78.0,78.0,,70.0,45.0,68.0,100.0,0.0,60.0,City: Small,"Under 1,000",5
California State University-San Marcos,33.0,62.0,63.0,33.0,46.0,55.0,59.0,56.0,57.0,52.0,Suburb: Large,"10,000 - 19,999",2
University of Washington-Bothell Campus,100.0,76.0,76.0,75.0,69.0,61.0,66.0,60.0,78.0,65.0,Suburb: Large,"5,000 - 9,999",5
University of Washington-Tacoma Campus,33.0,60.0,60.0,64.0,64.0,51.0,54.0,43.0,60.0,50.0,City: Midsize,"1,000 - 4,999",9
California State University-Monterey Bay,100.0,60.0,60.0,50.0,64.0,65.0,55.0,60.0,44.0,53.0,Suburb: Midsize,"5,000 - 9,999",5
Florida Gulf Coast University,86.0,57.0,58.0,50.0,58.0,56.0,60.0,48.0,50.0,63.0,Suburb: Large,"10,000 - 19,999",2
University of Connecticut-Waterbury Campus,,77.0,77.0,,52.0,43.0,65.0,43.0,43.0,50.0,Suburb: Midsize,"Under 1,000",5
University of Connecticut-Avery Point,,75.0,75.0,,42.0,27.0,64.0,44.0,50.0,,Suburb: Midsize,"Under 1,000",1
University of Connecticut-Stamford,,78.0,78.0,,51.0,57.0,65.0,83.0,40.0,65.0,City: Midsize,"1,000 - 4,999",9
Oregon State University-Cascades Campus,0.0,100.0,100.0,,,0.0,62.0,,,,City: Small,"1,000 - 4,999",2
Nevada State College,33.0,8.0,5.0,33.0,20.0,34.0,40.0,63.0,26.0,,Rural: Fringe,"5,000 - 9,999",1
California State University-Channel Islands,0.0,52.0,53.0,0.0,28.0,54.0,64.0,60.0,71.0,48.0,Suburb: Midsize,"5,000 - 9,999",4
University of Arkansas Grantham,0.0,100.0,100.0,,19.0,32.0,46.0,57.0,19.0,,City: Midsize,"5,000 - 9,999",4
University of California-Merced,,79.0,79.0,75.0,78.0,64.0,65.0,60.0,56.0,66.0,Rural: Fringe,"5,000 - 9,999",5
Georgia Gwinnett College,0.0,18.0,18.0,0.0,13.0,24.0,24.0,26.0,21.0,31.0,Suburb: Large,"10,000 - 19,999",1
University of Minnesota-Rochester,,63.0,63.0,,50.0,63.0,59.0,25.0,,100.0,City: Midsize,"Under 1,000",9
Texas A&M University-San Antonio,0.0,0.0,0.0,,22.0,32.0,38.0,29.0,,38.0,Rural: Fringe,"5,000 - 9,999",1
University of Connecticut-Hartford Campus,50.0,74.0,74.0,,55.0,44.0,66.0,47.0,58.0,89.0,City: Midsize,"1,000 - 4,999",9
Pennsylvania State University-World Campus,0.0,25.0,25.0,,13.0,27.0,39.0,33.0,100.0,67.0,City: Small,"10,000 - 19,999",2
Augusta University,50.0,68.0,68.0,50.0,44.0,51.0,49.0,45.0,50.0,69.0,City: Midsize,"5,000 - 9,999",4
Middle Georgia State University,0.0,18.0,19.0,0.0,17.0,37.0,30.0,18.0,25.0,27.0,City: Midsize,"5,000 - 9,999",4
University of North Georgia,29.0,34.0,35.0,17.0,25.0,36.0,40.0,35.0,20.0,30.0,Town: Distant,"10,000 - 19,999",8
