institution name,"DRVGR2022.Graduation rate, total cohort",HD2022.Degree of urbanization (Urban-centric locale),"EF2022D.Full-time retention rate, 2022",American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Other Pacific Islander,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,EF2022A.Grand total
Claremont McKenna College,91.0,Suburb: Large,96.0,0.0719942404607631,15.478761699064076,5.903527717782577,16.27069834413247,0.2159827213822894,35.42116630669546,7.055435565154787,4.175665946724262,15.406767458603312,1389
Dominican University of California,79.0,City: Small,85.0,0.3196590303676078,25.03995737879595,4.049014384656367,21.6302610548748,0.3196590303676078,26.58497602557272,4.954714970697922,2.503995737879595,14.597762386787426,1877
Fresno Pacific University,50.0,City: Large,75.0,0.8245382585751979,5.738786279683377,5.310026385224274,57.42084432717678,0.4617414248021108,23.97757255936676,0.758575197889182,3.5290237467018466,1.978891820580475,3032
University of La Verne,63.0,Suburb: Large,77.0,0.2296008477569763,5.616389968209114,7.771105616389969,58.866125044154,0.4768632991875662,17.855881314023314,3.2320734722712823,2.0840692334864004,3.86789120452137,5662
La Sierra University,54.0,City: Large,76.0,0.3717472118959107,16.41883519206939,6.629491945477076,47.52168525402726,0.6815365551425031,12.577447335811648,5.080545229244114,0.3717472118959107,10.346964064436182,1614
Southern California University of Health Sciences,100.0,Suburb: Large,,0.0611246943765281,15.036674816625917,6.051344743276284,26.65036674816626,0.3667481662591687,23.288508557457213,3.3618581907090466,22.00488997555012,3.1784841075794623,1636
The Master's University and Seminary,73.0,Suburb: Large,86.0,0.7290867229470452,5.947812739831159,2.1488871834228704,22.601688411358403,0.4604758250191865,57.86646201074444,4.758250191864928,5.103607060629317,0.3837298541826553,2606
Loyola Marymount University,82.0,City: Large,88.0,0.0590260698475159,9.85735366453517,7.270044269552385,25.597638957206097,0.0885391047712739,39.773733398917855,6.797835710772258,0.2754549926217413,10.2803738317757,10165
Mount Saint Mary's University,60.0,City: Large,77.0,0.1229508196721311,14.631147540983608,6.721311475409836,54.05737704918033,0.3278688524590163,11.92622950819672,1.0655737704918031,10.081967213114751,1.0655737704918031,2440
National University,22.0,City: Large,64.0,0.3649830926949707,7.33723364285331,10.691857656593848,34.42649347861092,0.789007568031775,31.09333905855832,5.195641672481348,10.058504642799637,0.0429391873758789,18631
Occidental College,83.0,City: Large,89.0,0.0,13.439752832131823,3.964984552008239,16.580844490216272,0.0,48.66117404737384,11.277033985581877,1.3388259526261586,4.737384140061792,1942
Otis College of Art and Design,62.0,City: Large,76.0,0.1524390243902439,16.08231707317073,6.63109756097561,19.740853658536587,0.0,22.40853658536585,6.783536585365854,1.4481707317073171,26.7530487804878,1312
Hope International University,50.0,Suburb: Large,60.0,0.7168458781362007,7.078853046594983,7.258064516129033,23.02867383512545,1.254480286738351,37.007168458781365,12.455197132616489,8.422939068100359,2.7777777777777777,1116
University of the Pacific,74.0,City: Large,88.0,0.1433805958260315,34.63437948064362,3.488927831766768,21.124741118368647,0.4779353194201051,22.12840528915087,5.257288513621156,2.1029154054484627,10.64202644575434,6277
Pepperdine University,84.0,Suburb: Large,88.0,0.3688933200398803,11.52542372881356,8.464606181455633,19.88035892323031,0.32901296111665,42.85144566301097,5.194416749750748,3.4097706879361915,7.976071784646062,10030
Pitzer College,85.0,Suburb: Large,89.0,0.495049504950495,12.046204620462046,4.62046204620462,13.2013201320132,0.495049504950495,48.67986798679868,9.570957095709572,3.7128712871287126,7.1782178217821775,1212
