"unitid","institution name","year","EF2022A.Level of student","EF2022A.Grand total","EF2022A.Grand total men","EF2022A.Grand total women","EF2022A.American Indian or Alaska Native total","EF2022A.American Indian or Alaska Native men","EF2022A.American Indian or Alaska Native women","EF2022A.Asian total","EF2022A.Asian men","EF2022A.Asian women","EF2022A.Black or African American total","EF2022A.Black or African American men","EF2022A.Black or African American women","EF2022A.Hispanic total","EF2022A.Hispanic men","EF2022A.Hispanic women","EF2022A.Native Hawaiian or Other Pacific Islander total","EF2022A.Native Hawaiian or Other Pacific Islander men","EF2022A.Native Hawaiian or Other Pacific Islander women","EF2022A.White total","EF2022A.White men","EF2022A.White women","EF2022A.Two or more races total","EF2022A.Two or more races men","EF2022A.Two or more races women","EF2022A.Race/ethnicity unknown total","EF2022A.Race/ethnicity unknown men","EF2022A.Race/ethnicity unknown women","EF2022A.U.S. Nonresident total","EF2022A.U.S. Nonresident men","EF2022A.U.S. Nonresident women","EF2022A.Gender unknown","EF2022A.Another gender","EF2022A.Total of gender unknown and another gender","EF2022A.Total gender reported as one of the mutually exclusive binary categories (Men/Women)","IDX_EF"
"105330","Northern Arizona University","2022","All students, Undergraduate, Degree/certificate-seeking total","23090","8497","14593","674","214","460","707","214","493","667","272","395","6082","1998","4084","61","27","34","12870","4940","7930","1339","511","828","246","104","142","444","217","227",,,,,"-2"
"105330","Northern Arizona University","2022","All students, Undergraduate, Degree/certificate-seeking, First-time","5575","2100","3475","165","56","109","110","48","62","151","67","84","1507","528","979","17","5","12","3183","1213","1970","355","142","213","60","31","29","27","10","17",,,,,"-2"
"105330","Northern Arizona University","2022","All students, Undergraduate, Other degree/certificate-seeking","17515","6397","11118","509","158","351","597","166","431","516","205","311","4575","1470","3105","44","22","22","9687","3727","5960","984","369","615","186","73","113","417","207","210",,,,,"-2"
"105330","Northern Arizona University","2022","All students, Undergraduate, Non-degree/certificate-seeking","114","53","61","0","0","0","6","3","3","1","0","1","12","8","4","0","0","0","45","20","25","2","0","2","48","22","26","0","0","0",,,,,"-2"
"105330","Northern Arizona University","2022","All students, Graduate","4882","1724","3158","167","30","137","112","33","79","165","64","101","866","221","645","7","3","4","2433","698","1735","164","34","130","469","331","138","499","310","189","0",,"0","4882","-2"
"105330","Northern Arizona University","2022","All students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","1777","596","1181","75","22","53","36","10","26","64","21","43","627","150","477","6","3","3","856","347","509","77","28","49","15","5","10","21","10","11",,,,,"-2"
"105330","Northern Arizona University","2022","All students, Undergraduate, Other degree/certificatee-seeking, Continuing","15738","5801","9937","434","136","298","561","156","405","452","184","268","3948","1320","2628","38","19","19","8831","3380","5451","907","341","566","171","68","103","396","197","199",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students total","22735","8513","14222","639","190","449","505","184","321","607","254","353","5668","1864","3804","58","25","33","12745","4800","7945","1280","489","791","329","200","129","904","507","397",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Undergraduate total","20011","7504","12507","563","171","392","442","164","278","533","226","307","5227","1742","3485","56","24","32","11405","4415","6990","1191","468","723","167","83","84","427","211","216",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Undergraduate, Degree/certificate-seeking total","20010","7503","12507","563","171","392","442","164","278","533","226","307","5227","1742","3485","56","24","32","11404","4414","6990","1191","468","723","167","83","84","427","211","216",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","5434","2052","3382","151","50","101","108","47","61","144","66","78","1468","513","955","16","5","11","3117","1192","1925","347","138","209","58","31","27","25","10","15",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","14576","5451","9125","412","121","291","334","117","217","389","160","229","3759","1229","2530","40","19","21","8287","3222","5065","844","330","514","109","52","57","402","201","201",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Undergraduate, Non-degree/certificate-seeking","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Graduate","2724","1009","1715","76","19","57","63","20","43","74","28","46","441","122","319","2","1","1","1340","385","955","89","21","68","162","117","45","477","296","181",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Undergraduate, Other degree/certificatee-seeking, Transfer-ins","1287","489","798","59","20","39","27","9","18","38","17","21","446","116","330","4","2","2","626","287","339","57","25","32","10","3","7","20","10","10",,,,,"-2"
"105330","Northern Arizona University","2022","Full-time students, Undergraduate, Other degree/certificatee-seeking, Continuing","13289","4962","8327","353","101","252","307","108","199","351","143","208","3313","1113","2200","36","17","19","7661","2935","4726","787","305","482","99","49","50","382","191","191",,,,,"-2"
"105330","Northern Arizona University","2022","Part-time students total","5351","1761","3590","202","54","148","320","66","254","226","82","144","1292","363","929","10","5","5","2603","858","1745","225","56","169","434","257","177","39","20","19",,,,,"-2"
"105330","Northern Arizona University","2022","Part-time students, Undergraduate total","3193","1046","2147","111","43","68","271","53","218","135","46","89","867","264","603","5","3","2","1510","545","965","150","43","107","127","43","84","17","6","11",,,,,"-2"
"105330","Northern Arizona University","2022","Part-time students, Undergraduate, Degree/certificate-seeking total","3080","994","2086","111","43","68","265","50","215","134","46","88","855","256","599","5","3","2","1466","526","940","148","43","105","79","21","58","17","6","11",,,,,"-2"
